@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute shellData-1 numeric
@attribute shellData-2 numeric
@attribute shellData-3 numeric
@attribute shellData-4 numeric
@attribute shellData-5 numeric
@attribute shellData-6 numeric
@attribute shellData-7 numeric
@attribute shellData-8 numeric
@attribute shellData-9 numeric
@attribute shellData-10 numeric
@attribute shellData-11 numeric
@attribute shellData-12 numeric

@data
313,'2017/08/16 15:51:40:388',6,14.47114,1.270405,7.235372,7.207018,2.506399,2.598459,23.509138,6.989767,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
314,'2017/08/16 15:51:40:417',6,14.474544,1.270578,7.24492,7.216588,2.502771,2.594222,23.511871,6.985331,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
315,'2017/08/16 15:51:40:537',6,14.485263,1.273281,7.254148,7.226156,2.499293,2.590822,23.512241,6.981442,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
316,'2017/08/16 15:51:40:570',6,14.487032,1.272447,7.261657,7.232962,2.497537,2.58839,23.512503,6.976481,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
317,'2017/08/16 15:51:40:595',6,14.487844,1.273972,7.268568,7.2395,2.494341,2.584983,23.514107,6.971437,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
318,'2017/08/16 15:51:40:854',6,14.486825,1.276705,7.269354,7.240324,2.496175,2.586112,23.515285,6.967941,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
319,'2017/08/16 15:51:40:965',6,14.485773,1.278867,7.265031,7.236295,2.501437,2.591258,23.510036,6.964463,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
320,'2017/08/16 15:51:41:006',6,14.483454,1.27713,7.261441,7.232649,2.508512,2.59789,23.506046,6.95972,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
321,'2017/08/16 15:51:41:042',6,14.486159,1.27658,7.258474,7.230318,2.514196,2.60306,23.503759,6.955108,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
322,'2017/08/16 15:51:41:080',6,14.492184,1.275241,7.255128,7.227672,2.520617,2.608511,23.49905,6.953178,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
323,'2017/08/16 15:51:41:106',6,14.499629,1.274938,7.251417,7.224563,2.527078,2.614726,23.497253,6.949481,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
324,'2017/08/16 15:51:41:216',6,14.494417,1.274023,7.245565,7.218743,2.535966,2.623049,23.494822,6.946987,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
325,'2017/08/16 15:51:41:264',6,14.492902,1.273779,7.242244,7.21533,2.541329,2.628118,23.492882,6.944266,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
326,'2017/08/16 15:51:41:294',6,14.4945,1.275207,7.239509,7.21327,2.546442,2.632775,23.489794,6.94287,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
327,'2017/08/16 15:51:41:329',6,14.489468,1.27624,7.236421,7.210267,2.552248,2.638016,23.486517,6.940363,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
328,'2017/08/16 15:51:41:355',6,14.496692,1.279546,7.235101,7.20936,2.555971,2.641327,23.484348,6.939388,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
329,'2017/08/16 15:51:41:386',6,14.496534,1.281963,7.231898,7.206123,2.559649,2.64455,23.482882,6.937416,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
330,'2017/08/16 15:51:41:415',6,14.491703,1.284544,7.223678,7.198119,2.566701,2.651154,23.480486,6.93749,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
331,'2017/08/16 15:51:41:442',6,14.492604,1.286058,7.215785,7.190297,2.572838,2.656704,23.476215,6.936878,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
332,'2017/08/16 15:51:41:467',6,14.491113,1.288226,7.207512,7.18209,2.57917,2.662265,23.473436,6.936644,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
333,'2017/08/16 15:51:41:579',6,14.483402,1.28764,7.198874,7.173778,2.587523,2.669569,23.471165,6.935094,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
334,'2017/08/16 15:51:41:604',6,14.473793,1.28568,7.188913,7.164063,2.596608,2.677763,23.469261,6.933367,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
335,'2017/08/16 15:51:41:744',6,14.471416,1.286574,7.17944,7.155576,2.60523,2.685171,23.468018,6.933161,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
336,'2017/08/16 15:51:41:791',6,14.471028,1.285239,7.169271,7.145928,2.614113,2.693604,23.464174,6.934296,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
337,'2017/08/16 15:51:41:830',6,14.477607,1.286901,7.159533,7.137259,2.621404,2.70016,23.459867,6.935436,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
338,'2017/08/16 15:51:41:858',6,14.481516,1.287048,7.149203,7.128587,2.628984,2.706764,23.45426,6.937688,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
339,'2017/08/16 15:51:41:887',6,14.48455,1.286835,7.139217,7.119331,2.636012,2.713468,23.449842,6.939305,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
